id,title_primary,title_ko,confidence,reasoning
tj-25020,パラシュートの部屋,,low,Genuinely uncertain; declining to translate to avoid fabrication.
tj-25031,六幻(東京リベンジャーズ OST),육환,medium,Best-effort literal translation; no canonical Korean form located.
tj-25083,ゆらめき,흔들림,medium,Best-effort literal translation; no canonical Korean form located.
tj-25096,Try me~私を信じて~,,low,Genuinely uncertain; declining to translate to avoid fabrication.
tj-25180,そうだ！We're ALIVE,그래! We're ALIVE,medium,Best-effort literal translation; no canonical Korean form located.
tj-25242,鳥の詩(AIR OP),,low,Genuinely uncertain; declining to translate to avoid fabrication.
tj-25247,シングルベッド(D.N.A2 ED),싱글 베드,medium,Best-effort literal translation; no canonical Korean form located.
tj-25281,素敵だね,근사하지,medium,Best-effort literal translation; no canonical Korean form located.
tj-25313,Soul Of Rebirth ~時代の鼓動になれ~(新世紀GPXサイバーフォーミュラSIN OST),Soul Of Rebirth ~시대의 고동이 되어라~,medium,Best-effort literal translation; no canonical Korean form located.
tj-25323,遠くまで(バンパイアハンターD ED),멀리까지,medium,Best-effort literal translation; no canonical Korean form located.
tj-25346,手のひらの宇宙 (Key the Metal Idol ED),손바닥의 우주,medium,Best-effort literal translation; no canonical Korean form located.
tj-25364,まほろDEまんぼー(まほろまてぃっく ED),마호로데만보,medium,Best-effort literal translation; no canonical Korean form located.
tj-25370,情熱(東京アンダーグラウンド OP),정열,medium,Best-effort literal translation; no canonical Korean form located.
tj-25413,あの日に…(電影少女 ED),그날에…,medium,Best-effort literal translation; no canonical Korean form located.
tj-25442,304号室白死の桜,304호실 백사의 벚꽃,medium,Best-effort literal translation; no canonical Korean form located.
tj-25612,花園キネマ (神世紀伝マーズ OP),꽃동산 키네마,medium,Best-effort literal translation; no canonical Korean form located.
tj-25640,ひとりぼっちのハブラシ(ムコ殿 OST),혼자만의 칫솔,medium,Best-effort literal translation; no canonical Korean form located.
tj-25665,アシタヘカエル,,medium,normalized: Latin-only title_ko nulled (no Korean translation needed)
tj-25711,瞳の中の迷宮(ヤミと帽子と本の旅人 OP),눈동자 속의 미궁,medium,Best-effort literal translation; no canonical Korean form located.
tj-25729,アニメタル (アニメタル 主題歌),,low,Genuinely uncertain; declining to translate to avoid fabrication.
tj-25754,ビバ★ロック (NARUTO-ナルト-疾風伝 ED),비바 록,medium,Best-effort literal translation; no canonical Korean form located.
tj-25755,心晴れて夜も明けて(十兵衛ちゃん2~シベリア柳生の逆襲 OST),마음 개고 밤도 밝아서,medium,Best-effort literal translation; no canonical Korean form located.
tj-25761,ハッスルマッスル (HUTLE MUSCLE)(キン肉マンII世 OP),허슬 머슬,medium,Best-effort literal translation; no canonical Korean form located.
tj-25771,"only one, No1  (焼きたて!!ジャぱん OST)",,medium,normalized: Latin-only title_ko nulled (no Korean translation needed)
tj-25827,迷Q!?-迷宮-MAKE★YOU- (探偵学園Q OP),미Q!? -미궁- MAKE★YOU-,medium,Best-effort literal translation; no canonical Korean form located.
tj-25863,冷たい海 (名探偵コナン ED),,low,Genuinely uncertain; declining to translate to avoid fabrication.
tj-25908,普遍 (SAMURAI７ ED),보편,medium,Best-effort literal translation; no canonical Korean form located.
tj-25917,Re-sublimity (神無月の巫女 OP),,medium,normalized: Latin-only title_ko nulled (no Korean translation needed)
tj-25918,スクランブル (スクールランブル OP),스크램블,medium,Best-effort literal translation; no canonical Korean form located.
tj-25932,ふられ気分でRock'n Roll(せんせいのお時間 ED),차인 기분으로 Rock'n Roll,medium,Best-effort literal translation; no canonical Korean form located.
tj-25933,ココロオドル(SDガンダムフォース ED),코코로 오도루,medium,Best-effort literal translation; no canonical Korean form located.
tj-25942,～アスタリスク～ (BLEACH OP),~아스타리스크~,medium,Best-effort literal translation; no canonical Korean form located.
tj-25955,入水願い,입수 소망,medium,Tokyo Jihen; 入水願い = wish to drown/enter water.
tj-25967,溺愛ロジック,익애 로직,medium,溺愛ロジック; doumoto tsuyoshi.
tj-25992,ほんとはね。,사실은 말이지.,medium,ほんとはね = honestly/really.
tj-26001,なんちゅう恋をやってるぅ YOU KNOW?,뭐 그런 사랑을 하고 있어 YOU KNOW?,medium,なんちゅう恋をやってるぅ Berryz Koubou.
tj-26020,北の五番町,기타노 고반초,medium,北の五番町 (place name).
tj-26038,気がつけば あなた,문득 깨닫고 보면 당신,medium,気がつけば あなた.
tj-26039,放浪フリーク,방랑 프릭,medium,放浪フリーク = wandering freak.
tj-26059,はぐれコキリコ,,low,はぐれコキリコ enka; 'kokiriko' is a folk instrument; uncertain canonical KO.
tj-26060,居酒屋敦賀,이자카야 츠루가,medium,居酒屋敦賀 (place).
tj-26061,江釣子のおんな,에즈리코의 여자,low,江釣子 obscure place name; uncertain.
tj-26072,五能線,고노선,medium,五能線 JR train line.
tj-26073,城ヶ島雨情,조가시마 우정,low,城ヶ島雨情; obscure.
tj-26077,城崎恋歌,키노사키 연가,medium,城崎恋歌.
tj-26078,沙の川,모래의 강,medium,沙の川 = sand river.
tj-26079,越前忍冬,에치젠 닌도,low,越前忍冬 obscure.
tj-26080,じょんから女節,존카라 온나부시,low,じょんから女節 enka folk.
tj-26087,波止場しぐれ,부두의 시구레,medium,波止場しぐれ.
tj-26108,暗夜航路,암야항로,medium,暗夜航路.
tj-26114,ピリリと行こう！,매콤하게 가자!,medium,ピリリと行こう (piri-piri = spicy/tingling).
tj-26140,櫂,노,medium,櫂 = oar/paddle.
tj-26148,あなたまかせの夜だから,당신에게 맡기는 밤이라서,medium,あなたまかせの夜だから.
tj-26149,でもネ かもネ...夢の中,그래도 어쩌면...꿈속에서,medium,でもネ かもネ...夢の中.
tj-26151,二枚目酒 ～居酒屋PartⅡ～,두 번째 술 ~이자카야 Part II~,medium,二枚目酒 ～居酒屋PartⅡ～.
tj-26152,大阪恋めぐり,오사카 사랑 순례,medium,大阪恋めぐり.
tj-26155,あづま男と浪花のおんな,동쪽 남자와 나니와의 여자,medium,あづま男と浪花のおんな.
tj-26158,大阪しのび逢い,오사카 비밀의 만남,medium,大阪しのび逢い.
